index,categories,geocodes,link,name,rating,popularity
0,"[{'id': 16032, 'name': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]","{'main': {'latitude': 12.977173, 'longitude': 77.595288}}",/v3/places/4bbc4513e45295217db855a4,Cubbon Park,8.8,1
1,"[{'id': 16032, 'name': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 13.004648, 'longitude': 77.617203}, 'main': {'latitude': 13.004542, 'longitude': 77.617468}, 'roof': {'latitude': 13.004542, 'longitude': 77.617468}}",/v3/places/4b53d3bff964a5208aac27e3,Richard's Park,8.4,2
2,"[{'id': 16000, 'name': 'Landmarks and Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]","{'main': {'latitude': 12.955722, 'longitude': 77.578742}, 'roof': {'latitude': 12.955722, 'longitude': 77.578742}}",/v3/places/4b5ee0ccf964a5201b9c29e3,Lalbagh Botanical Garden,8.2,3
3,"[{'id': 16026, 'name': 'Monument', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_monument_', 'suffix': '.png'}}]","{'main': {'latitude': 12.998409, 'longitude': 77.591948}, 'roof': {'latitude': 12.998409, 'longitude': 77.591948}}",/v3/places/4d81ae5bbaf9a35db0569b21,Bangalore Palace,7.4,4
4,"[{'id': 16032, 'name': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]","{'main': {'latitude': 13.038957, 'longitude': 77.555171}, 'roof': {'latitude': 13.038957, 'longitude': 77.555171}}",/v3/places/4ced12544cd4236a8cdfa563,Jp park,7.4,5
5,"[{'id': 16041, 'name': 'Plaza', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 12.976327, 'longitude': 77.599409}, 'main': {'latitude': 12.976417, 'longitude': 77.599549}}",/v3/places/4eca32d0cc21b428e629fdcc,Mahatma Gandhi Circle (ಮಹಾತ್ಮಾ ಗಾಂಧಿ ವೃತ್),7.4,6
6,"[{'id': 16032, 'name': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]","{'main': {'latitude': 12.978176, 'longitude': 77.58236}, 'roof': {'latitude': 12.978176, 'longitude': 77.58236}}",/v3/places/4c786dfadbaa76b08021154b,Freedom Park,7.3,7
7,"[{'id': 16032, 'name': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]","{'main': {'latitude': 13.040067, 'longitude': 77.570822}, 'roof': {'latitude': 13.040067, 'longitude': 77.570822}}",/v3/places/4f01a591be7bbcd4f5353e50,BBMP Park,7.3,8
8,"[{'id': 16019, 'name': 'Hiking Trail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/hikingtrail_', 'suffix': '.png'}}]","{'main': {'latitude': 13.028479, 'longitude': 77.573269}, 'roof': {'latitude': 13.028479, 'longitude': 77.573269}}",/v3/places/4e76a7f852b1c8e519fe9f17,80 Feet Road,7.1,9
9,"[{'id': 16000, 'name': 'Landmarks and Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]","{'main': {'latitude': 13.010313, 'longitude': 77.586756}}",/v3/places/4bee77d8d355a593b3e80a60,Palace Grounds,6.6,10
