,categories,geocodes,link,name,rating
0,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.973298, 'longitude': 77.618242}, 'roof': {'latitude': 12.973298, 'longitude': 77.618242}}",/v3/places/4b530849f964a520108d27e3,The Oberoi,9.1
1,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.979419, 'longitude': 77.728109}, 'roof': {'latitude': 12.979419, 'longitude': 77.728109}}",/v3/places/510c8097e4b03a116e0b25f2,Bengaluru Marriott Hotel Whitefield,9
2,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.960862, 'longitude': 77.648515}, 'roof': {'latitude': 12.960862, 'longitude': 77.648515}}",/v3/places/4ad0af16f964a52012d920e3,The Leela Palace,8.9
3,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 12.968532, 'longitude': 77.601368}, 'main': {'latitude': 12.967662, 'longitude': 77.6016}, 'roof': {'latitude': 12.967662, 'longitude': 77.6016}}",/v3/places/51837637498e4de320549fdf,The Ritz-Carlton,8.6
4,"[{'id': 19010, 'name': 'Bed and Breakfast', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/bedandbreakfast_', 'suffix': '.png'}}, {'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.975298, 'longitude': 77.620487}, 'roof': {'latitude': 12.975298, 'longitude': 77.620487}}",/v3/places/55b76a26498e9e77ed86dcd7,Conrad Bengaluru,8.5
5,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.948303, 'longitude': 77.64577}, 'roof': {'latitude': 12.948303, 'longitude': 77.64577}}",/v3/places/5327408911d2f80cb8e40a91,Hilton,8.5
6,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 13.012701, 'longitude': 77.555249}, 'roof': {'latitude': 13.012701, 'longitude': 77.555249}}",/v3/places/4db972aba86ee4fa7d37df76,Sheraton Bangalore Hotel,8.5
7,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.991986, 'longitude': 77.58834}, 'roof': {'latitude': 12.991986, 'longitude': 77.58834}}",/v3/places/56581c68498e1d3da0511f8c,Shangri La Hotel Bengaluru,8.4
8,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.967028, 'longitude': 77.595793}, 'roof': {'latitude': 12.967028, 'longitude': 77.595793}}",/v3/places/4b960bf8f964a52011bb34e3,The Luxury Collection,8.3
9,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.97297, 'longitude': 77.599589}, 'roof': {'latitude': 12.97297, 'longitude': 77.599589}}",/v3/places/4bb59ca0f562ef3bd3262f97,Airlines Hotel,8.3
10,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.964445, 'longitude': 77.598304}, 'roof': {'latitude': 12.964445, 'longitude': 77.598304}}",/v3/places/4c72a23f8efc3704fc6a137d,Adarsh Hamilton,8
11,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}, {'id': 13000, 'name': 'Dining and Drinking', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","{'main': {'latitude': 12.979501, 'longitude': 77.751854}, 'roof': {'latitude': 12.979501, 'longitude': 77.751854}}",/v3/places/53dcc7d0498e26a926c6b1a9,"Four Points by Sheraton Bengaluru, Whitefield",7.7
12,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.985668, 'longitude': 77.579305}, 'roof': {'latitude': 12.985668, 'longitude': 77.579305}}",/v3/places/4d0b4a5cdd5fa1cd44105889,Janardhana Hotel,7.5
13,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.990135, 'longitude': 77.723128}, 'roof': {'latitude': 12.990135, 'longitude': 77.723128}}",/v3/places/4bbf098f30c99c745a855411,The Zuri Whitefield,7.3
14,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.96873, 'longitude': 77.614381}, 'roof': {'latitude': 12.96873, 'longitude': 77.614381}}",/v3/places/537f4165498e976c85c7ad89,ITC My Fortune Hotel,7.3
15,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.929761, 'longitude': 77.683296}}",/v3/places/4f19bdc7e4b0a9795d385594,Novotel Bengaluru Techpark,7.2
16,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.937, 'longitude': 77.580417}, 'roof': {'latitude': 12.937, 'longitude': 77.580417}}",/v3/places/4c63f0a64b5176b033831817,La Marvella,7
17,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.957344, 'longitude': 77.644007}, 'roof': {'latitude': 12.957344, 'longitude': 77.644007}}",/v3/places/4ba46d04f964a520999c38e3,Hotel Royal Orchid Regenta,6.9
18,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.965993, 'longitude': 77.598563}, 'roof': {'latitude': 12.965993, 'longitude': 77.598563}}",/v3/places/4bc777a593bdeee1ab6a37ae,The Chancery Pavilion,6.5
19,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.935941, 'longitude': 77.583813}, 'roof': {'latitude': 12.935941, 'longitude': 77.583813}}",/v3/places/4bce9a2fef109521716d8486,Pai Viceroy,6.5
20,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.967318, 'longitude': 77.593845}, 'roof': {'latitude': 12.967318, 'longitude': 77.593845}}",/v3/places/5370ac99498e44d235f31fc5,ibis Bangalore City Centre,6.4
21,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}, {'id': 19016, 'name': 'Lodge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/default_', 'suffix': '.png'}}]","{'main': {'latitude': 12.929914, 'longitude': 77.683384}}",/v3/places/4fccea00e4b0ff719b91d2fc,Hotel Ibis,6.2
22,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.959552, 'longitude': 77.648763}, 'roof': {'latitude': 12.959552, 'longitude': 77.648763}}",/v3/places/558d9989498e8ff31fb1ce4c,Sterlings Mac Hotel,6
23,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.934799, 'longitude': 77.61581}, 'roof': {'latitude': 12.934799, 'longitude': 77.61581}}",/v3/places/4bc18f97b492d13a7843a660,Hotel Empire International,5.9
24,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.975719, 'longitude': 77.599464}, 'roof': {'latitude': 12.975719, 'longitude': 77.599464}}",/v3/places/4bc777a093bdeee1a76a37ae,The Chancery,5.3
25,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}, {'id': 19016, 'name': 'Lodge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/default_', 'suffix': '.png'}}]","{'main': {'latitude': 12.980121, 'longitude': 77.60719}, 'roof': {'latitude': 12.980121, 'longitude': 77.60719}}",/v3/places/4bf43e10cad2c928c4b19b99,Safina Plaza,4.9
