,categories,geocodes,link,name,rating
0,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.142887, 'longitude': 11.562473}}",/v3/places/4ade0c9af964a520096821e3,The Charles Hotel,9.1
1,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.146244, 'longitude': 11.537879}, 'roof': {'latitude': 48.146244, 'longitude': 11.537879}}",/v3/places/55f714e8498e9b20ff877e88,Novotel München City Arnulfpark,9.1
2,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.139385, 'longitude': 11.556899}, 'roof': {'latitude': 48.139385, 'longitude': 11.556899}}",/v3/places/4b8ffa3ff964a520a16d33e3,Sofitel Munich Bayerpost,8.9
3,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.13911, 'longitude': 11.58191}}",/v3/places/4ade0c8df964a520c76721e3,Hotel Vier Jahreszeiten Kempinski,8.9
4,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.162078, 'longitude': 11.557091}, 'roof': {'latitude': 48.162078, 'longitude': 11.557091}}",/v3/places/569a4c5e498e2a9e0b675b60,Hotel Motel One München-Olympia Gate,8.8
5,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.171914, 'longitude': 11.586498}, 'roof': {'latitude': 48.171914, 'longitude': 11.586498}}",/v3/places/5ac21c89e179103e69cfb309,Andaz Munich Schwabinger Tor,8.8
6,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.139645, 'longitude': 11.561182}, 'main': {'latitude': 48.139619, 'longitude': 11.56133}, 'roof': {'latitude': 48.139619, 'longitude': 11.56133}}",/v3/places/59b2cd393c858d7f3b7d0dde,25hours Hotel Muenchen The Royal Bavarian,8.7
7,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.13277, 'longitude': 11.576378}, 'roof': {'latitude': 48.13277, 'longitude': 11.576378}}",/v3/places/4b7aa67cf964a52061352fe3,Deutsche Eiche,8.7
8,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.177902, 'longitude': 11.591965}, 'main': {'latitude': 48.178157, 'longitude': 11.592077}, 'roof': {'latitude': 48.178157, 'longitude': 11.592077}}",/v3/places/5980b2519411f24bd0f7f515,Motel One Parkstadt Schwabing,8.6
9,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.137988, 'longitude': 11.578998}, 'roof': {'latitude': 48.137988, 'longitude': 11.578998}}",/v3/places/4b4253fff964a520add125e3,Platzl Hotel,8.5
10,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.139045, 'longitude': 11.551906}, 'main': {'latitude': 48.138894, 'longitude': 11.551911}, 'roof': {'latitude': 48.138894, 'longitude': 11.551911}}",/v3/places/55b8cea9498ec687dac1eead,Vi Vadi Hotel Bayer 89,8.4
11,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.109152, 'longitude': 11.579554}, 'roof': {'latitude': 48.109152, 'longitude': 11.579554}}",/v3/places/4c8e29df58668cfa8678cfec,Hotel Motel One München-City-Süd,8.4
12,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.139755, 'longitude': 11.540632}, 'main': {'latitude': 48.139893, 'longitude': 11.540641}, 'roof': {'latitude': 48.139893, 'longitude': 11.540641}}",/v3/places/59bfc1a04c9be611fb78253d,Roomers München,8.4
13,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}, {'id': 19017, 'name': 'Motel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.188667, 'longitude': 11.591407}, 'roof': {'latitude': 48.188667, 'longitude': 11.591407}}",/v3/places/57e93235498e5574ea556d0a,Super 8 by Wyndham Munich City North,8.4
14,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.086597, 'longitude': 11.646332}, 'roof': {'latitude': 48.086597, 'longitude': 11.646332}}",/v3/places/59865e29fe37406ea7a96fb0,Leonardo Hotel Munich City East,8.3
15,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.174703, 'longitude': 11.590165}, 'roof': {'latitude': 48.174703, 'longitude': 11.590165}}",/v3/places/5a19ccffaa6c955c67a43ff2,Steigenberger Hotel München,8.3
16,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.127995, 'longitude': 11.588574}, 'roof': {'latitude': 48.127995, 'longitude': 11.588574}}",/v3/places/4d40810ecb84b60c6ccd86ab,Hotel Motel One München -Deutsches Museum,8.2
