categories,features,geocodes,hours,link,location,name,popularity,rating,stats,price
"[{'id': 10051, 'name': 'Stadium', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': False, 'amex': False, 'discover': False, 'visa': False, 'diners_club': False, 'master_card': False, 'union_pay': False}, 'digital_wallet': {'accepts_nfc': False}}, 'amenities': {'outdoor_seating': True, 'wifi': 'n'}}","{'main': {'latitude': 48.173886, 'longitude': 11.54555}, 'roof': {'latitude': 48.173886, 'longitude': 11.54555}}","{'display': 'Open Daily 10:00-12:00, 14:00-16:00', 'is_local_holiday': False, 'open_now': True, 'regular': [{'close': '1200', 'day': 1, 'open': '1000'}, {'close': '1600', 'day': 1, 'open': '1400'}, {'close': '1200', 'day': 2, 'open': '1000'}, {'close': '1600', 'day': 2, 'open': '1400'}, {'close': '1200', 'day': 3, 'open': '1000'}, {'close': '1600', 'day': 3, 'open': '1400'}, {'close': '1200', 'day': 4, 'open': '1000'}, {'close': '1600', 'day': 4, 'open': '1400'}, {'close': '1200', 'day': 5, 'open': '1000'}, {'close': '1600', 'day': 5, 'open': '1400'}, {'close': '1200', 'day': 6, 'open': '1000'}, {'close': '1600', 'day': 6, 'open': '1400'}, {'close': '1200', 'day': 7, 'open': '1000'}, {'close': '1600', 'day': 7, 'open': '1400'}]}",/v3/places/4ade0cc5f964a520f36821e3,"{'address': 'Spiridon-Louis-Ring 21', 'country': 'DE', 'cross_street': 'Ackermannstr.', 'formatted_address': 'Spiridon-Louis-Ring 21 (Ackermannstr.), 80809 München', 'locality': 'Munich', 'postcode': '80809', 'region': 'Bavaria'}",Olympic Park (Olympiapark),0.999927067,9.4,"{'total_photos': 1880, 'total_ratings': 1591, 'total_tips': 170}",
"[{'id': 10051, 'name': 'Stadium', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': False, 'discover': False, 'visa': False, 'master_card': False}}, 'food_and_drink': {'alcohol': {'beer': True}}, 'amenities': {'parking': {'parking': True}, 'wifi': 'f'}, 'attributes': {'families_popular': 'Great'}}","{'main': {'latitude': 48.21866, 'longitude': 11.623745}, 'roof': {'latitude': 48.21866, 'longitude': 11.623745}}","{'display': 'Open Daily 10:00-18:00', 'is_local_holiday': False, 'open_now': True, 'regular': [{'close': '1800', 'day': 1, 'open': '1000'}, {'close': '1800', 'day': 2, 'open': '1000'}, {'close': '1800', 'day': 3, 'open': '1000'}, {'close': '1800', 'day': 4, 'open': '1000'}, {'close': '1800', 'day': 5, 'open': '1000'}, {'close': '1800', 'day': 6, 'open': '1000'}, {'close': '1800', 'day': 7, 'open': '1000'}]}",/v3/places/4ade0d29f964a520216b21e3,"{'address': 'Werner-Heisenberg-Allee 25', 'country': 'DE', 'cross_street': '', 'formatted_address': 'Werner-Heisenberg-Allee 25, 80939 München', 'locality': 'Munich', 'postcode': '80939', 'region': 'Bavaria'}",Allianz Arena,0.999718686,8.9,"{'total_photos': 3702, 'total_ratings': 2831, 'total_tips': 298}",
"[{'id': 10027, 'name': 'Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': False, 'amex': False, 'discover': False, 'visa': False, 'diners_club': False, 'master_card': False, 'union_pay': False}, 'digital_wallet': {'accepts_nfc': False}}, 'amenities': {'wifi': 'n'}}","{'main': {'latitude': 48.158311, 'longitude': 11.503469}, 'roof': {'latitude': 48.158311, 'longitude': 11.503469}}","{'display': 'Open Daily 10:00-16:00', 'is_local_holiday': False, 'open_now': True, 'regular': [{'close': '1600', 'day': 1, 'open': '1000'}, {'close': '1600', 'day': 2, 'open': '1000'}, {'close': '1600', 'day': 3, 'open': '1000'}, {'close': '1600', 'day': 4, 'open': '1000'}, {'close': '1600', 'day': 5, 'open': '1000'}, {'close': '1600', 'day': 6, 'open': '1000'}, {'close': '1600', 'day': 7, 'open': '1000'}]}",/v3/places/4ade0cc5f964a520f66821e3,"{'address': 'Schloss Nymphenburg 1', 'country': 'DE', 'cross_street': 'Schloßrondell', 'formatted_address': 'Schloss Nymphenburg 1 (Schloßrondell), 80638 München', 'locality': 'Munich', 'postcode': '80638', 'region': 'Bavaria'}",Nymphenburg Palace (Schloss Nymphenburg),0.999583238,9.2,"{'total_photos': 1802, 'total_ratings': 1207, 'total_tips': 131}",1
"[{'id': 10043, 'name': 'Theater', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_theater_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': False, 'amex': False, 'discover': False, 'visa': False, 'diners_club': False, 'master_card': False, 'union_pay': False}, 'digital_wallet': {'accepts_nfc': False}}}","{'main': {'latitude': 48.139852, 'longitude': 11.578247}}","{'display': 'Open Daily 0:00-24:00', 'is_local_holiday': False, 'open_now': True, 'regular': [{'close': '+0000', 'day': 1, 'open': '0000'}, {'close': '+0000', 'day': 2, 'open': '0000'}, {'close': '+0000', 'day': 3, 'open': '0000'}, {'close': '+0000', 'day': 4, 'open': '0000'}, {'close': '+0000', 'day': 5, 'open': '0000'}, {'close': '+0000', 'day': 6, 'open': '0000'}, {'close': '+0000', 'day': 7, 'open': '0000'}]}",/v3/places/4be9807c1838952165b90acf,"{'address': 'Max-Joseph-Platz 1', 'country': 'DE', 'formatted_address': 'Max-Joseph-Platz 1, 80539 München', 'locality': 'Munich', 'postcode': '80539', 'region': 'Bavaria'}",Max-Joseph-Platz,0.999520723,8.9,"{'total_photos': 357, 'total_ratings': 182, 'total_tips': 10}",
"[{'id': 10027, 'name': 'Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': False, 'amex': False, 'discover': False, 'visa': False, 'diners_club': False, 'master_card': False, 'union_pay': False}, 'digital_wallet': {'accepts_nfc': False}}, 'services': {'dine_in': {'reservations': True}}, 'amenities': {'wifi': 't'}, 'attributes': {'families_popular': 'Great'}}","{'main': {'latitude': 48.129902, 'longitude': 11.583512}, 'roof': {'latitude': 48.129902, 'longitude': 11.583512}}","{'display': 'Open Daily 9:00-17:00', 'is_local_holiday': False, 'open_now': True, 'regular': [{'close': '1700', 'day': 1, 'open': '0900'}, {'close': '1700', 'day': 2, 'open': '0900'}, {'close': '1700', 'day': 3, 'open': '0900'}, {'close': '1700', 'day': 4, 'open': '0900'}, {'close': '1700', 'day': 5, 'open': '0900'}, {'close': '1700', 'day': 6, 'open': '0900'}, {'close': '1700', 'day': 7, 'open': '0900'}]}",/v3/places/4ade0cd7f964a520596921e3,"{'address': 'Museumsinsel 1', 'country': 'DE', 'formatted_address': 'Museumsinsel 1, 80538 München', 'locality': 'Munich', 'postcode': '80538', 'region': 'Bavaria'}",Deutsches Museum,0.999260247,8.8,"{'total_photos': 1200, 'total_ratings': 1556, 'total_tips': 244}",2
"[{'id': 10027, 'name': 'Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': False}}, 'amenities': {'wifi': 't'}, 'attributes': {'families_popular': 'Great'}}","{'main': {'latitude': 48.176781, 'longitude': 11.558889}, 'roof': {'latitude': 48.176781, 'longitude': 11.558889}}","{'display': 'Tue-Sun 10:00-18:00', 'is_local_holiday': False, 'open_now': True, 'regular': [{'close': '1800', 'day': 2, 'open': '1000'}, {'close': '1800', 'day': 3, 'open': '1000'}, {'close': '1800', 'day': 4, 'open': '1000'}, {'close': '1800', 'day': 5, 'open': '1000'}, {'close': '1800', 'day': 6, 'open': '1000'}, {'close': '1800', 'day': 7, 'open': '1000'}]}",/v3/places/4ade0cdaf964a520666921e3,"{'address': 'Am Olympiapark 2', 'country': 'DE', 'cross_street': 'Petuelring', 'formatted_address': 'Am Olympiapark 2 (Petuelring), 80809 München', 'locality': 'Munich', 'postcode': '80809', 'region': 'Bavaria'}",BMW Museum,0.999072704,9.1,"{'total_photos': 5896, 'total_ratings': 2592, 'total_tips': 281}",1
"[{'id': 10024, 'name': 'Movie Theater', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': False, 'amex': False, 'discover': False, 'visa': False, 'diners_club': False, 'master_card': False, 'union_pay': False}, 'digital_wallet': {'accepts_nfc': False}}, 'amenities': {'wifi': 'n'}}","{'main': {'latitude': 48.139168, 'longitude': 11.563791}, 'roof': {'latitude': 48.139168, 'longitude': 11.563791}}","{'display': 'Open Daily 9:00-23:30', 'is_local_holiday': False, 'open_now': True, 'regular': [{'close': '2330', 'day': 1, 'open': '0900'}, {'close': '2330', 'day': 2, 'open': '0900'}, {'close': '2330', 'day': 3, 'open': '0900'}, {'close': '2330', 'day': 4, 'open': '0900'}, {'close': '2330', 'day': 5, 'open': '0900'}, {'close': '2330', 'day': 6, 'open': '0900'}, {'close': '2330', 'day': 7, 'open': '0900'}]}",/v3/places/4b3a578bf964a5201c6525e3,"{'address': 'Bayerstr. 3-5', 'country': 'DE', 'formatted_address': 'Bayerstr. 3-5, 80335 München', 'locality': 'Munich', 'postcode': '80335', 'region': 'Bavaria'}",Mathäser Filmpalast,0.998968514,7.5,"{'total_photos': 151, 'total_ratings': 660, 'total_tips': 59}",2
"[{'id': 10027, 'name': 'Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': False, 'amex': False, 'discover': False, 'visa': False, 'diners_club': False, 'master_card': False, 'union_pay': False}, 'digital_wallet': {'accepts_nfc': False}}, 'amenities': {'wifi': 'n'}}","{'main': {'latitude': 48.144068, 'longitude': 11.585896}, 'roof': {'latitude': 48.144068, 'longitude': 11.585896}}","{'display': 'Mon-Wed 10:00-20:00; Thu 10:00-22:00; Fri-Sun 10:00-20:00', 'is_local_holiday': False, 'open_now': True, 'regular': [{'close': '2000', 'day': 1, 'open': '1000'}, {'close': '2000', 'day': 2, 'open': '1000'}, {'close': '2000', 'day': 3, 'open': '1000'}, {'close': '2200', 'day': 4, 'open': '1000'}, {'close': '2000', 'day': 5, 'open': '1000'}, {'close': '2000', 'day': 6, 'open': '1000'}, {'close': '2000', 'day': 7, 'open': '1000'}]}",/v3/places/4ade0cd9f964a520636921e3,"{'address': 'Prinzregentenstraße 1', 'country': 'DE', 'formatted_address': 'Prinzregentenstraße 1, 80538 München', 'locality': 'Munich', 'postcode': '80538', 'region': 'Bavaria'}",House of Art (Haus der Kunst),0.998301694,8.4,"{'total_photos': 347, 'total_ratings': 259, 'total_tips': 43}",
"[{'id': 10026, 'name': 'Indie Movie Theater', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': False, 'amex': False, 'discover': False, 'visa': False, 'diners_club': False, 'master_card': False, 'union_pay': False}, 'digital_wallet': {'accepts_nfc': False}}, 'amenities': {'wifi': 'n'}}","{'main': {'latitude': 48.148327, 'longitude': 11.553126}, 'roof': {'latitude': 48.148327, 'longitude': 11.553126}}","{'display': 'Open Daily 17:00-22:00', 'is_local_holiday': False, 'open_now': False, 'regular': [{'close': '2200', 'day': 1, 'open': '1700'}, {'close': '2200', 'day': 2, 'open': '1700'}, {'close': '2200', 'day': 3, 'open': '1700'}, {'close': '2200', 'day': 4, 'open': '1700'}, {'close': '2200', 'day': 5, 'open': '1700'}, {'close': '2200', 'day': 6, 'open': '1700'}, {'close': '2200', 'day': 7, 'open': '1700'}]}",/v3/places/4b2193c9f964a520413e24e3,"{'address': 'Nymphenburger Str. 31', 'country': 'DE', 'cross_street': 'Pappenheimstr.', 'formatted_address': 'Nymphenburger Str. 31 (Pappenheimstr.), 80335 München', 'locality': 'Munich', 'postcode': '80335', 'region': 'Bavaria'}",Cinema,0.998197504,8.7,"{'total_photos': 265, 'total_ratings': 520, 'total_tips': 71}",
"[{'id': 10037, 'name': 'Concert Hall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 10041, 'name': 'Rock Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_rockclub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': False, 'discover': False, 'visa': False, 'master_card': False}}, 'food_and_drink': {'alcohol': {'beer': True}}, 'services': {'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'outdoor_seating': True, 'wifi': 'n'}}","{'main': {'latitude': 48.145013, 'longitude': 11.521926}, 'roof': {'latitude': 48.145013, 'longitude': 11.521926}}","{'is_local_holiday': False, 'open_now': False}",/v3/places/4ade0d0ef964a5208a6a21e3,"{'address': 'Reitknechtstr. 6', 'country': 'DE', 'cross_street': '', 'formatted_address': 'Reitknechtstr. 6, 80639 München', 'locality': 'Munich', 'postcode': '80639', 'region': 'Bavaria'}",Backstage,0.998145408,8.1,"{'total_photos': 255, 'total_ratings': 323, 'total_tips': 36}",
